WiscID,slope
40,0.9010311760273659
48,0.9296264148708189
49,0.8426812877318893
59,3.8569694692635377
67,2.564214592739349
70,1.3563835862053797
103,2.9599206640515208
111,1.652149250899612
114,1.4746153552536236
122,2.2843454417131266
123,2.184037203277761
132,1.7226827816979402
134,2.254442224237371
215,0.8952310710597856
247,1.10640236016457
282,1.848517886424784
320,1.0358862677588987
369,1.2721341493583362
371,2.0814676473630533
444,1.3244687476418493
539,1.6553610616723513
562,1.2248557865075036
584,1.5612921473795807
587,1.4669338643518564
730,1.943410115885812
731,1.1898863719390256
739,1.0536733686096063
749,1.923484266897935
750,1.7284958610866898
751,1.49107071132643
772,1.6361110305822175
781,1.7169018002028789
795,1.0706829903512598
796,2.0005449606138623
811,1.4641038763573808
909,0.38341494246543584
910,0.8470202599981932
970,1.1953063545938747
1030,1.3311134812230765
1038,0.9736298492717317
