WBIC,Gnet,slope
45100,-1.9236079632150709,0.7065276788070398
104700,-2.098241045588077,1.2966131396616962
106600,-1.7040266474043584,0.9762685771672828
181800,-0.7504264599889533,0.9355198906460728
182100,-1.1239121790623268,1.0222974053508453
191100,-0.3904492237390445,0.8454138404188927
418300,-0.5393917718397211,1.1905889818853774
439800,-1.4724651719416277,1.0343381086261314
586800,-1.3301869639133574,1.0683192224744615
589400,-2.0741481486734625,1.2220426525951433
741500,-1.118702230210966,0.942885646263149
741600,-1.8955806481316284,0.8390415983627894
778300,-1.327713323186492,1.5607750652550128
779800,-1.9493741459700453,1.099023430866966
967900,-1.8617755376378475,1.0204386444201667
968800,-1.5741299206633121,1.1663425122185316
985100,-1.0586033832945354,1.0749131156501017
991000,-1.9849194997580235,1.240718485244497
994700,-1.9707639342674619,1.0887923540513411
994900,-2.3485900740164736,1.453577563583631
1005800,-1.431407420622559,1.0218696851359996
1176400,-1.7594178998054626,0.9648459479190754
1842400,-1.6905008405395185,1.1222772516333683
1858200,-3.0395879335404214,1.3165141081349623
1862100,-1.9880200409788764,1.0620650468182824
1877900,-2.049479601437591,0.8900798854245114
1881100,-1.9391699222134908,1.3220471425011673
1881900,-1.576915115794185,1.103469660478832
1883700,-2.088579564016292,1.43599022515255
1887500,-1.2852252947620937,1.2055629372211558
2015500,-2.3723329331583374,1.332682641716944
2462200,-0.35293634996666523,0.7090488149554102
2493900,0.5573136043992108,0.4012161662738091
2496300,-2.2541683823532557,1.1832740903108205
2630100,0.7299467579090909,1.148402110485028
2694000,-1.1814447307661244,0.8209592081352777
2757900,-1.6490145095075828,1.106139006672849
2767100,-2.3816555318618295,0.9758902342205149
2901100,-1.5261712936370346,0.8970440450172683
