WBIC,coef
101300,0.04158505767784932
102100,0.034143994549654354
102900,0.039112813935185946
104600,0.027713216454335055
105200,0.03379230658030682
107900,0.02981823252667972
117400,0.03569857805602021
182300,0.040059917815428836
186400,0.02850246968787079
189600,0.031091465657567558
190200,0.029112402950989213
196100,0.029279250266679668
778300,0.035095392294639274
968800,0.040463541101180014
985000,0.034606096183797036
994900,0.03681743652594445
1012000,0.03947022705752286
1176400,0.04250312685364607
1842400,0.03955651329186277
1881900,0.03847507278611911
